"","ParticipantNumber","DataExp","DataConcernsList"
"1",1006,"Aware, But Not Used","Again it is about context. Those who access the data may not actually understand its context or interpretation. It is better to supply data to others when they request it and then explain in detail how to interpret it."
"2",1007,"Aware, But Not Used","Privacy since creative practice research data typically identifies and professionally credits artist/participants. / Also, in creative research data is usually context-specific. Hence it would be unlikely to be meaningful in different research contexts."
"3",1009,"Aware, But Not Used","See previous concerns."
"4",1010,"Aware, But Not Used","Actually, no."
"5",1011,"Aware, But Not Used",NA
"6",1012,"Aware, But Not Used","How the data is used and attributed"
"7",1016,"Aware, But Not Used","Using human data the ethics around making their responses (incl de-identified) available publicly"
"8",1017,"Aware, But Not Used","misuse of data"
"9",1023,"Aware, But Not Used",NA
"10",1024,"Aware, But Not Used","Time cost of making data code book etc. so that it is accessible to others."
"11",1028,"Aware, But Not Used","As per previous answer it takes a long time to prepare"
"12",1029,"Aware, But Not Used",NA
"13",1031,"Aware, But Not Used","Primarily about usefulness of this for qualitative research, the time required to organize qualitative data into a publicly accessible format, and the potential to compromise participant confidentiality."
"14",1032,"Aware, But Not Used",NA
"15",1034,"Aware, But Not Used",NA
"16",1036,"Aware, But Not Used",NA
"17",1038,"Aware, But Not Used","Same as previous"
"18",1039,"Aware, But Not Used",NA
"19",1041,"Aware, But Not Used",NA
"20",1044,"Aware, But Not Used",NA
"21",1045,"Aware, But Not Used",NA
"22",1046,"Aware, But Not Used",NA
"23",1049,"Aware, But Not Used","Many of my research subjects are vulnerable or at-risk, releasing information about my studies has the potential to both reduce the number of participants willing to participate and also the veracity of the data being shared with the research team. Additionally, a number of my projects are deemed commercial in confidence or sensitive (not for release)."
"24",1055,"Aware, But Not Used",NA
"25",1056,"Aware, But Not Used","Ethics of its use"
"26",1060,"Aware, But Not Used","Who can analyse it first, and publish from it first"
"27",1061,"Aware, But Not Used","the time line from research conduct to final publications can be very long and not right to share before the end of the process.  Need for careful protocols to assure anonymity of participants and - in multi site studies - of sites of data collection."
"28",1063,"Aware, But Not Used","Data could be misleadingly analysed"
"29",1064,"Aware, But Not Used","I’m not sure but something feels dangerous about just putting your data out there."
"30",1065,"Aware, But Not Used","Ethical"
"31",1066,"Aware, But Not Used",NA
"32",1093,"Aware, But Not Used","said previously"
"33",1099,"Aware, But Not Used",NA
"34",1101,"Aware, But Not Used","Disclose sensitive data"
"35",1115,"Aware, But Not Used",NA
"36",1116,"Aware, But Not Used","Other people analyzing it in parallel and publishing it cherry picking"
"37",1117,"Aware, But Not Used",NA
"38",1118,"Aware, But Not Used",NA
"39",1119,"Aware, But Not Used","Ethical considerations (confidentiality, privacy) given the very sensitive nature of the data in my field. Plans to make data open would be unlikely to be approved by ethics committees appraising my research."
"40",1122,"Aware, But Not Used",NA
"41",1123,"Aware, But Not Used","Similar to the materials note."
"42",1124,"Aware, But Not Used","Mistakes or errors"
