"ParticipantNumber","OverallExperience","PreRegImp","PreregExp1","PreregUse_1","PreregUse_2","PreregUse_4","PreregUse_6","PreregUse_7","PreregUse_7_TEXT","PreRegExp2","PreRegExp2_TEXT","RRExp_1","RRExp_4","RRExp_5","RRExp_6","RRExp_7","RRExp_7_TEXT","prereg-concerns","PreRegConList","PreRegCon_delay","PreRegCon_look","PreRegCon_prevent_exp","PreRegCon_stifle_creativity","PreRegCon_scooping","PreRegCon_other","PreRegCon_text","PreRegCon_prevent_sig","PreRegCon_diff_pub","PreRegCon_none","CodeDef","CodeImp","CodeExp","CodeUse_useOthers","CodeUse_mine","CodeUse_reading","CodeUse_other","CodeUse_text","CodeUse_peer","Code-concerns","CodeConcernList","CodeCon_criticise","CodeCon_diff_understand","CodeCon_assistance","CodeCon_lose_control","CodeCon_errors","CodeCon_credit","CodeCon_other","CodeCon_text","CodeCon_none","CodeCon_violate","CodeCon_ip","OpenDataDef","OpenDataImp","OpenDataExp","DataUse_useOthers","DataUse_mine","DataUse_peer","DataUse_reading","DataUse_other","DataUse_text","Data-Concerns","DataConcernsList","DataConcern_criticise","DataConcern_ip","DataConcern_devalues","DataConcern_other","DataConcern_text","DataConcern_none","DataConcern_effort","DataConcern_unfair","DataConcern_credit","DataConcern_ethics","DataConcern_privacy","DataConcern_control","DataConcern_scoop","PrePubDef","PrePubImp","PrePubExp","PrePubUse_upload","PrePubUse_other","PrePubUse_text","PrePubUse_cited","PrePubUse_read","PrePub-Concerns","PrePubConcernsText","PrePubConcern_policy","PrePubConcern_scoop","PrePubConcern_noise","PrePubConcern_citations","PrePubConcern_other","PrePubConcern_text","PrePubConcern_compare","PrePubConcern_none","OAdef","OAprop","OAfees_free","OAfees_research_income","OAfees_centre","OAfees_school","OAfees_collab","OAfees_own_money","OAfees_other","OAfees_text","OAfees_withdrew","OAfees_waiver","OAfees_hdr","LastStudy","LastStudy_TEXT","OSmost_data","OSmost_code","OSmost_prepub","OSmost_prereg","OSmost_none","OSmost_OA","OSmost_unknown","OSmost_other","OSmost_text","OSmost_repo","OSTools_1","OSTools_2","OSTools_3","OSTools_4","OSTools_5","OSTools_6","OSTools_7","OSTools_8","OSTools_9","OSTools_10","OSTools_11","OSTools_12","OSTools_22","OSToolsOther","OSBarriers","OSBarriersText","OSFacilitate","OSBarrier_noOAFunding","OSBarrier_noCredit","OSBarrier_noMandate","OSBarrier_noInfo","OSBarrier_noInfrastructure","OSBarrier_noTimeEngage","OSBarrier_colleaguesDis","OSBarrier_noInterest","OSBarrier_none","OSBarrier_intimidating","OSBarrier_other","OSBarrier_text","OSBarrier_supervisorsDis","OSBarrier_noTraining","OSBarrier_independent","OSBarrier_noRecognition","OSBarrier_noSupport","OSBarrier_noOSFunding","OSBarrier_noTimeLearn","OSBarrier_noExpertise","DefRR","crisis","RepEstimate","self_rep_1","self_rep_2","self_rep_3","self_rep_5","self_rep_6","self_rep_4","LearnedFrom_9","LearnedFrom_9_TEXT","LearnedFrom_10","LearnedFrom_11","LearnedFrom_12","LearnedFrom_13","LearnedFrom_14","LearnedFrom_15","LearnedFrom_16","LearnedFrom_17","LearnedSpec","Teaching_1","Teaching_2","Teaching_3","Teaching_4","Teaching_5","Teaching_6","Teaching_6_TEXT","Teaching_7","Teaching_8","AcLevel_1","AcLevel_2","AcLevel_3","AcLevel_4","AcLevel_5","AcLevel_6","AcLevel_7","AcLevel_9","AcLevel_10","AcLevel_10_TEXT","AcLevel_12","AcLevel_13","funded","FundKnow","Thanks","FORcode_2_num","FORcode_2_label","FORcode_4_num","FORcode_4_label","discipline","crisis_num","OverallExp_num","PreRegImp_num_o","PreRegExp_num","CodeImp_num_o","CodeExp_num","DataExp_num","DataImp_num_o","PrePubImp_num_o","PrePubExp_num","OAprop_num_o","PreRegImp_num","CodeImp_num","DataImp_num","PrePubImp_num","OAprop_num","OverallExp","PreRegExp","DataImp","DataExp","AcLevel_Label"
1001,2,"Not at all",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Not at all","Unaware",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,4,1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"Not at all","Aware, But Not Used",NA,NA,NA,NA,NA,2,"It compromises anonymous review.",NA,NA,NA,NA,1,"See above.",NA,NA,1,"Some",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,2,0,2,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,"Not Specified",NA,NA,"Not Specified",NA,"2","4","1","4","1","1","4","4","2","4","1","1","1","1","1","Aware, But Not Used","Unaware","Not at all","Unaware","Professor"
1002,3,"Somewhat important",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,"Pre-registration is sometimes difficult in the context of applied research in commercial timeframes",NA,NA,NA,1,"Somewhat important","Some Use",NA,1,NA,NA,NA,NA,1,"Just that it is challenging in multi-layered qualitative research to accurately demonstrate all coding and it is time consuming to ensure everything is completely non-identifiable",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,1,1,NA,NA,NA,NA,1,"Time involved in deidentification, demand generated when my data are in the public domain and others want to use it",NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,"Somewhat unimportant","Aware, But Not Used",NA,NA,NA,NA,NA,2,NA,1,NA,1,NA,NA,NA,NA,NA,1,"Most",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,2,2,1,0,0,0,2,0,1,2,1,NA,1,"Done properly, it's yet more work with no financial or administrative support to do it","Costs of this being factored into project budgets and university support systems.",1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,5,"No Crisis",19,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,15," Commerce, Management, Tourism and Services",1503," Business and Management","Business & Law","3","3","2","2","2","3","3","1","3","2","2","3","3","4","2","3","Some","Aware, But Not Used","Extremely important","Some Use","Professor"
1003,1,"Not at all",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"It is not necessary.",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Extremely important","Regular Use",1,1,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,4,1,1,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"Somewhat important","Extensive Experience",1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,1,0,0,NA,1,"It costs much more.","Less cost.",1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,"Significant Crisis",100,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,1,2," Physical Sciences",201," Astronomical and Space Sciences","Physical Sciences","1","1","4","2","1","4","4","1","2","4","0","1","4","4","3","0","Unaware","Aware, But Not Used","Extremely important","Regular Use","Postdoc"
1004,3,"Not at all",3,NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Somewhat important","Some Use",1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,3,1,1,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Not at all","Some Experience",NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"Some",NA,NA,1,NA,NA,NA,1,"Lead authors/co-authors from the Swinburne Health Sciences paid the open access fees",NA,NA,NA,3,NA,NA,1,NA,1,NA,1,NA,NA,NA,1,2,2,0,0,1,0,NA,NA,NA,NA,1,NA,1,NA,0,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,"No Crisis",82,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,12," Built Environment and Design",1203," Design Practice and Management","Other","3","3","4","3","2","3","3","3","4","3","4","1","3","2","1","1","Some","Some Experience","Somewhat unimportant","Some Use","Senior Lecturer"
1005,2,"Somewhat important",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,"Extremely important","Aware, But Not Used",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,4,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"Somewhat important","Some Experience",1,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,"Some",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,0,2,2,2,2,0,0,0,0,0,1,0,1,NA,0,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,18," Law and Legal Studies",1801," Law","Business & Law",NA,"2","2","1","1","2","4","1","2","3","4","3","4","4","3","1","Aware, But Not Used","Unaware","Extremely important","Regular Use","Lecturer"
1006,2,"Not at all",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"In my field (physics and mathematics) this is a ridiculous proposition. You are basically giving away your best ideas to potential competitors. Why would you ever do that? These are your ideas, you know what to do and how to do it properly. You then do the work and publish it in the best peer reviewed journals. That is how the best science has been done in the past, and I don't see ""open science"" being an improvement. If anything, I see it as a serious danger to research integrity and scientific rigour.",1,1,1,1,1,NA,NA,1,1,NA,1,"Somewhat important","Some Use",NA,1,NA,NA,NA,NA,1,"These need to be done only on a needs basis. Sometimes it is very useful to share the information of pubished research so others can have access to them. Anyone can write to me and request data, which I am happy to share once the work is published. This also applies to software, as long as the source of the software is acknowledged and cited.",NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,3,2,NA,NA,NA,NA,NA,NA,1,"Again it is about context. Those who access the data may not actually understand its context or interpretation. It is better to supply data to others when they request it and then explain in detail how to interpret it.",NA,NA,NA,1,"Misinterpretation and misuse of data",NA,NA,NA,1,NA,NA,1,1,1,"Not at all","Aware, But Not Used",NA,NA,NA,NA,NA,2,"It is the antithesis of peer review and in ""hard sciences"" should never be practiced. It will be the death of good science.",1,1,1,NA,NA,NA,1,NA,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,2,0,2,2,0,0,0,0,0,1,0,1,NA,1,"I am philosophically opposed to the practice, as I have articulated.","Nothing, it is a ridiculous thing to do in my field.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"See above",NA,NA,NA,NA,NA,NA,NA,NA,4,"Slight Crisis",90,0,1,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2," Physical Sciences",204," Condensed Matter Physics","Physical Sciences","2","2","4","2","2","3","2","3","4","2","0","1","3","2","1","0","Aware, But Not Used","Aware, But Not Used","Somewhat unimportant","Aware, But Not Used","Professor"
1007,2,"Not at all",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"In creative practice research pre-registration would be something of a contradiction in terms since methods are dynamic and respond to situations 'in studio'.",1,1,1,1,1,NA,NA,1,1,NA,1,"Not at all","Unaware",NA,NA,NA,NA,NA,NA,1,"In creative practice research methods are typically tailored to specific studio contexts. Codes would be unlikely to be relevant to other studies.",1,1,NA,1,NA,1,NA,NA,NA,1,1,1,4,2,NA,NA,NA,NA,NA,NA,1,"Privacy since creative practice research data typically identifies and professionally credits artist/participants. / Also, in creative research data is usually context-specific. Hence it would be unlikely to be meaningful in different research contexts.",NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,"Not at all","Unaware",NA,NA,NA,NA,NA,2,"My ideas will be published first by others.",1,1,1,1,NA,NA,1,NA,1,"Most",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,"The same approach and methods could be used, but the study was specific to a particular dance company and the dancers who were there at the time, so could not be completely replicated. The approach was co-designed with those dancers- other dancers/companies might have other approaches.",NA,NA,NA,NA,NA,1,NA,NA,NA,1,0,2,0,0,1,0,0,0,0,0,2,0,1,NA,1,"Pre-registration and data sharing would not help my research (or that of others) due to the nature of my work.","I'm not sure I'm in favour of overcoming them.",1,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,5,"No Crisis",20,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,19," Studies in Creative Arts and Writing",1902," Film, Television and Digital Media","ASSH","3","2","4","1","4","1","2","4","4","1","2","1","1","1","1","3","Aware, But Not Used","Unaware","Not at all","Aware, But Not Used","Professor"
1008,1,"Somewhat unimportant",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Unsure whether it gives people the right to 'copy' my method if they see it, especially if there are some elements that are ' novel'",NA,1,1,1,1,NA,NA,NA,NA,NA,1,"Somewhat important","Aware, But Not Used",NA,NA,NA,NA,NA,NA,1,"People may use my data for other purposes",1,NA,NA,1,1,1,NA,NA,NA,1,1,1,3,1,NA,NA,NA,NA,NA,NA,1,"Will the data be misused, that the original researchers won't get appropriate credit and recognition for the data that they collected",1,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,"Somewhat unimportant","Unaware",NA,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,1,NA,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,NA,2,0,0,0,0,0,0,0,2,NA,1,"concerns about intellectual property, governance of appropriate use of my data by others","Information and education about intellectual property, use of my data so I can make an informed choice",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,5,"Don't Know",71,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,0,1,11," Medical and Health Sciences",1117," Public Health and Health Services","Medical & Health Sciences","4","1","3","2","2","2","1","3","3","1","0","2","3","2","2","0","Unaware","Aware, But Not Used","Somewhat unimportant","Unaware","Lecturer"
1009,3,"Somewhat unimportant",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Bureaucratic burden. Lead to a conservative shift in science, if reviewers recommend against accepting registered reports when their hypothesis runs counter to conventional wisdom. That could make it harder to do high-risk research. That is, pre-registration could lead to undervaluing exploratory research.  /  / Without research results to help indicate the value of a study, editors and reviewers for non-blind journals may rely more on researcher prestige to make decisions about accepting articles for pre-registration. This could have a negative impact on the ability of graduate students and early career researchers to publish their work, impairing their career development.",1,1,1,1,1,NA,NA,1,1,NA,1,"Somewhat important","Some Use",1,1,NA,NA,NA,NA,1,"Bullying, intellectual theft under the guise of transparency, openness, and reproducibility. I remain unconvinced that there is an immediacy to sharing most forms of scientific data—especially an immediacy in the name of the public interest. I am convinced that other scientists feel an immediate need to analyze data sets that they do not own—especially if the results of a particularly excellent data set can be published in Nature and elevate their status.",1,NA,NA,1,NA,1,NA,NA,NA,1,1,1,2,2,NA,NA,NA,NA,NA,NA,1,"See previous concerns.",NA,1,1,NA,NA,NA,NA,1,1,1,1,1,1,1,"Somewhat unimportant","Aware, But Not Used",NA,NA,NA,NA,NA,2,"See concerns below.",1,1,1,1,NA,NA,NA,NA,1,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,2,2,0,0,0,0,0,2,2,1,2,1,NA,0,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,1,4,"Significant Crisis",80,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,17," Psychology and Cognitive Sciences",NA,NA,"Psyc & Cog Sciences","1","3","3","2","2","3","2","2","3","2","0","2","3","3","2","0","Some","Aware, But Not Used","Somewhat important","Aware, But Not Used","Lecturer"
1010,3,"Somewhat important",3,NA,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,"Others could take my ideas. It could leave a trail of failed studies.",NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,"Somewhat important","Aware, But Not Used",NA,NA,NA,NA,NA,NA,1,"Copyright of images used as stimuli.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,NA,1,"Actually, no.",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,"Somewhat unimportant","Unaware",NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,"Half",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,1,1,NA,NA,NA,1,0,0,0,2,0,0,0,0,0,1,0,1,NA,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,5,"Significant Crisis",29,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,17," Psychology and Cognitive Sciences",1701," Psychology","Psyc & Cog Sciences","1","3","2","3","2","2","2","2","3","1","3","3","3","3","2","2","Some","Some Experience","Somewhat important","Aware, But Not Used","Senior Lecturer"
